date,quarter,lpiv_regime,target_factor_market_magnitude_weighted_quarterly_sum,d_ecb_assets_ea_qavg,instrument_variance_component,policy_variance_component,first_stage_signal_component,instrument_variance_share,policy_variance_share,first_stage_signal_share
2023-03-31,2023Q1,tightening,370.73816669605424,-686201.0,137446.78824515129,470871812401.0,422864290087.86,0.8179684870330313,0.09799055271829454,0.12514559839363795
2020-03-31,2020Q1,covid,102.80720854814147,34702.69230769016,10569.322129461054,1204276853.4022176,32292741831.819347,0.06289977773638503,0.0002506154570795057,0.009556953838487103
2012-09-30,2012Q3,pre_qe,-98.71396188452908,83970.4615384601,9744.446270940261,7051038410.982008,2463015020.8117437,0.05799080556905519,0.0014673529672692399,0.0007289229567433116
2011-12-31,2011Q4,pre_qe,-46.27911521956975,372257.32417583,2141.7565055062128,138575515402.54898,135176885617.56416,0.012745945909462679,0.02883819118047822,0.0400052514154921
2022-09-30,2022Q3,tightening,46.10726539387731,-35863.77472527884,2125.8799221014365,1286210337.5455494,4884602633.116262,0.012651461745280567,0.00026766618550684964,0.0014455855785539733
2023-09-30,2023Q3,tightening,42.424869336909495,-519806.3846153803,1799.8695382538435,270198677486.9127,122176778213.83002,0.010711320226969896,0.05622956620760031,0.03615790308564413
2009-03-31,2009Q1,pre_qe,-35.36852794682994,-65878.84615384997,1250.9327691256906,4340022370.562633,199414952319.2081,0.007444507053280509,0.0009031782742157876,0.05901634193665515
2014-09-30,2014Q3,qe,-32.574496887183294,-125072.61538461992,1061.0978474531141,15643159119.149063,1994805068.7628496,0.00631476815105462,0.0032554121269850527,0.0005903574263911482
2023-06-30,2023Q2,tightening,-20.62211224229048,-189291.9230769202,425.2715133336269,35831432142.158676,16753798672.916302,0.0025308608573618367,0.00745668300337346,0.004958243600690465
2009-06-30,2009Q2,pre_qe,19.921146747522684,-106120.07692308002,396.8520877363336,11261470726.160421,30694711720.969296,0.0023617321723269874,0.002343562965152785,0.009084020939774303
2015-12-31,2015Q4,qe,19.83265207622578,138074.23076923005,393.3340883766228,19064493202.514595,3132848551.8915844,0.00234079597839779,0.003967407215740584,0.0009271584664234815
2022-12-31,2022Q4,tightening,-13.775367464835108,-209153.91758242063,189.76074879123763,43745361240.074005,7201471431.406352,0.001129297487185914,0.00910360742325719,0.002131256936855047
2008-12-31,2008Q4,pre_qe,13.149672624447668,523613.6153846199,172.91389013014842,274171218216.15268,9363107857.161592,0.0010290390550594974,0.05705626989107044,0.0027709876740010415
2019-09-30,2019Q3,qe,11.002234839144212,-15078.436200880446,121.04917145567866,227359238.26402193,6316353416.528558,0.0007203835673162513,4.7314485251304065e-05,0.00186930853823795
2006-06-30,2006Q2,pre_qe,-6.9118343088777285,36824.15384616004,47.773453513379266,1356018306.4856634,3296709013.0306444,0.00028430769456019075,0.0002821935394074859,0.0009756525481962518
2025-06-30,2025Q2,tightening,-6.681797694703418,-58541.53846153058,44.64642043294391,3427111725.4428644,4376715950.236322,0.00026569820538723313,0.0007131974421894301,0.0012952778218219875
2022-06-30,2022Q2,tightening,-4.448962342910674,152829.7628205195,19.793265928637233,23356936403.776245,21734768334.486794,0.00011779298732112053,0.00486068404974506,0.006432348753311134
2006-09-30,2006Q3,pre_qe,-3.255990318904489,27861.461538459873,10.601472956799757,776261039.0590788,205517168.62127948,6.309111260808965e-05,0.0001615434312859183,6.0822277146959775e-05
2011-09-30,2011Q3,pre_qe,2.952642273924035,158005.59890108998,8.718096397763295,24965769284.09213,1121630612.350224,5.1882828339120016e-05,0.005195489444805027,0.0003319436931646009
2007-09-30,2007Q3,pre_qe,-2.940378085000029,36444.38461538986,8.645823282748438,1328193169.9944654,52099204.59264921,5.14527191216065e-05,0.0002764030027212243,1.541862551984462e-05
2014-06-30,2014Q2,qe,2.5441030115364027,-36742.153846150264,6.472460133308593,1349985869.2541747,199847485.63558567,3.851867686556007e-05,0.00028093816195021604,5.914434905849561e-05
2005-12-31,2005Q4,pre_qe,-2.4231779580307258,24040.54395604902,5.871791416285958,577947753.702725,758412386.9969594,3.494399834491875e-05,0.00012027354013579623,0.00022445019412767542
2007-12-31,2007Q4,pre_qe,-2.166477556001535,95546.0,4.693625000658384,9129038116.0,5797698205.897014,2.7932535852647586e-05,0.0018997940994000312,0.0017158138634311062
2006-03-31,2006Q1,pre_qe,-2.0912084619294107,38599.53846153,4.3731528312451715,1489924369.4431336,300006168.40652007,2.602535316109156e-05,0.0003100599964260657,8.878605346224846e-05
2020-06-30,2020Q2,covid,1.9127879267492376,792113.3076923098,3.6587576527176466,627443492223.252,284183646733.6396,2.177386972677809e-05,0.1305738270654717,0.08410341889304065
2016-03-31,2016Q1,qe,1.8709774103336791,140505.0769230798,3.5005564699789202,19741676641.16057,20513626893.199394,2.083238841794731e-05,0.004108332150504111,0.006070955086417603
2009-09-30,2009Q3,pre_qe,1.76325965014401,34312.53846154013,3.109084593825977,1177350295.6746705,7618062141.507554,1.850267477137106e-05,0.00024501191869595005,0.0022545458853969382
2009-12-31,2009Q4,pre_qe,-1.707226930351534,-45707.307692310074,2.9146237917175215,2089157976.4795077,2876730225.6719866,1.7345406492361314e-05,0.0004347632188624633,0.0008513609069093666
2018-06-30,2018Q2,qe,-1.6779943463535043,57742.38461538963,2.815665026394324,3334182981.071585,33022148955.71741,1.675648657227051e-05,0.0006938585504050056,0.009772819999646843
2006-12-31,2006Q4,pre_qe,-1.670245018031492,13746.230769230053,2.7897184202590193,188958860.36092705,2777392315.5908036,1.6602074043355805e-05,3.9323193022260755e-05,0.0008219621080708549
2008-09-30,2008Q3,pre_qe,-1.5269522359137526,34378.23076923005,2.3315831307620085,1181862750.8224359,8120496235.159401,1.3875635438345117e-05,0.0002459509810105774,0.0024032399623793222
2015-03-31,2015Q1,qe,-1.4504004392549117,114120.38461538986,2.103661434190841,13023462184.764511,2877915154.294915,1.2519235862286662e-05,0.0027102413527019015,0.000851711583485862
2023-12-31,2023Q4,tightening,-1.3973561517472202,-162055.0769230798,1.9526042148258003,26261847956.545307,42186892913.59741,1.1620269456763557e-05,0.005465209275415577,0.012485102388152786
2007-03-31,2007Q1,pre_qe,-1.1684500009932333,16420.461538460106,1.365275404821087,269631557.1360476,965227976.6065613,8.124978921101195e-06,5.6111545898939875e-05,0.00028565673562459175
2012-06-30,2012Q2,pre_qe,0.8858985642854802,197430.5384615399,0.7848162662030751,38978817517.213585,10737350796.456842,4.67057093193073e-06,0.00811166812755511,0.003177691335217275
2021-12-31,2021Q4,covid,0.8150112366023531,346607.8046923103,0.6642433157880968,120136970273.62271,122644533701.34364,3.9530214345052955e-06,0.025001046588425196,0.03629633411838667
2013-12-31,2013Q4,pre_qe,-0.8147011849012741,-68677.8461538502,0.66373802067954,4716646552.331917,3385778348.1387734,3.950014340045481e-06,0.000981555468956887,0.0010020123886980692
2017-09-30,2017Q3,qe,-0.765704097587168,89263.30769230984,0.5863027650617793,7967938100.171981,254279352.54011032,3.489184373122552e-06,0.001658163937398925,7.525331998634166e-05
2011-03-31,2011Q1,pre_qe,-0.6622687251446138,50191.59523810004,0.43859986430467196,2519196232.5452666,5359.993026405735,2.6101800704014732e-06,0.0005242561239208968,1.5862761420121383e-09
2018-12-31,2018Q4,qe,-0.5864329374280056,28322.92307692021,0.34390359010043914,802187971.6211394,10687154783.206575,2.0466269373857666e-06,0.00016693894315376965,0.00316283595427727
2022-03-31,2022Q1,tightening,-0.5801980797748041,225097.08333333023,0.3366298117743699,50668696925.17221,124527564182.16862,2.0033394839039397e-06,0.010544384875994822,0.036853612143133894
2008-03-31,2008Q1,pre_qe,-0.5714302209466622,33327.384615380084,0.32653249741115115,1110714565.3014731,45300832911.3909,1.943248702167755e-06,0.0002311447219810698,0.013406664916652843
2010-03-31,2010Q1,pre_qe,-0.5240894080758147,93635.69230769994,0.27466970765725784,8767642873.942257,9123247843.95242,1.634604693748731e-06,0.001824586115854731,0.0027000017203809546
2020-09-30,2020Q3,covid,0.5130383872524458,885337.7692307606,0.2632083867945905,783822965626.4995,377032471666.0696,1.5663964845564233e-06,0.1631171023879924,0.11158178968169447
2014-12-31,2014Q4,qe,-0.4535082475972421,21341.0,0.20566973063872146,455438281.0,1597673257.8007061,1.2239744598395937e-06,9.477876506707022e-05,0.00047282728897122005
2020-12-31,2020Q4,covid,0.4304780103663234,442454.0,0.18531131740894843,195765542116.0,10763357457.228855,1.102818187797434e-06,0.040739694264830595,0.0031853879395435884
2011-06-30,2011Q2,pre_qe,-0.4211157918874693,-57444.05128205009,0.17733851017701033,3299819027.6948004,204705217.00568265,1.05537069810213e-06,0.0006867072563663869,6.0581982155913274e-05
2008-06-30,2008Q2,pre_qe,-0.4067301541644882,73714.76923076995,0.16542941830666835,5433867202.745667,313443690.2722574,9.844977298538913e-07,0.0011308123284759404,9.276285347642296e-05
2010-12-31,2010Q4,pre_qe,-0.3583346854701981,-72996.39010989014,0.1284037468110258,5328472969.075267,416411605.9496498,7.641518572340473e-07,0.0011088793120186111,0.0001232359431291708
2014-03-31,2014Q1,pre_qe,0.3507555377281763,-110609.46153845964,0.12302944724698212,12234452981.827982,4227025193.1758866,7.321685148846988e-07,0.0025460449708855086,0.001250977227504996
2025-03-31,2025Q1,tightening,-0.3482998657384882,-42441.923076929525,0.1213127964734489,1801316834.468003,16395384640.823908,7.219524432404014e-07,0.0003748621760352233,0.004852171890285314
2019-12-31,2019Q4,qe,-0.3345282806332887,16088.615384619683,0.11190917054346437,258843544.99422115,22259707358.101097,6.659899156849758e-07,5.386651180543804e-05,0.0065877031063985856
2013-03-31,2013Q1,pre_qe,-0.3263162270289165,-259744.4615384601,0.10648228002238737,67467185299.90458,28564447437.902035,6.336935958837318e-07,0.01404022624368756,0.008453574707519375
2010-06-30,2010Q2,pre_qe,0.3131341152493393,148051.53846153012,0.09805297413298651,21919258040.82593,18153214332.714222,5.835294074503577e-07,0.004561496683446183,0.0053723970637564785
2017-03-31,2017Q1,qe,-0.3001506790882721,243842.0769230798,0.09009043015715089,59458958478.16116,39241667423.068985,5.361429960834264e-07,0.012373678041206027,0.01161347048388441
2013-09-30,2013Q3,pre_qe,-0.2926758401379055,-201068.23076923005,0.0856591474004288,40428433424.66835,31619014486.82302,5.097717021564518e-07,0.008413339750828567,0.00935756596459923
2021-09-30,2021Q3,covid,-0.2704766845805693,449342.04146153945,0.07315763690169677,201908270224.82385,59557832816.36627,4.3537315302457615e-07,0.04201802375223946,0.017625987347580915
2019-03-31,2019Q1,qe,-0.2599761605786507,50034.0,0.06758760406921638,2503401156.0,29074257143.986767,4.0222496973940564e-07,0.0005209690970908,0.008604451578019843
2012-03-31,2012Q1,pre_qe,-0.2570285251640977,368662.3846153803,0.0660636627480312,135911953830.2986,12931169190.347239,3.9315574380308456e-07,0.028283891976766805,0.003826946243011309
2024-12-31,2024Q4,tightening,0.255843030342448,-70394.5384615399,0.06545565617480677,4955391045.21322,19130528094.764816,3.895373964909634e-07,0.0010312392771606462,0.005661630556479988
2007-06-30,2007Q2,pre_qe,-0.2300861872416099,33431.0,0.05293965355938117,1117631761.0,573470303.690294,3.150526023844536e-07,0.00023258422167484637,0.00016971706052878525
2016-06-30,2016Q2,qe,-0.227057280618703,204439.6153846099,0.051555008681960446,41795556338.60722,101310622162.00832,3.068123525399701e-07,0.00869784420924501,0.029982617901979897
2015-09-30,2015Q3,qe,-0.1966454595354476,149458.69230769016,0.03866943675590736,22337900706.324802,19911710419.249454,2.3012819056370245e-07,0.0046486181145943255,0.005892819455007813
2024-06-30,2024Q2,tightening,-0.1931552890746257,-271259.23076923005,0.03730896569750222,73581570277.5144,28460666564.528248,2.2203180309984233e-07,0.015312657397366768,0.008422861025128557
2021-06-30,2021Q2,covid,-0.1700687545983203,526869.23076923,0.028923381290623693,277591186331.36017,130610457979.57597,1.7212780841392664e-07,0.05776798071567748,0.03865382890791042
2021-03-31,2021Q1,covid,-0.1696621910758152,253666.5384615399,0.028785259080646428,64346712735.0599,173455301289.93973,1.7130582038086142e-07,0.013390841796968967,0.05133365002272501
2024-09-30,2024Q3,tightening,-0.1424866465964916,-106805.76923076995,0.02030244445831349,11407472340.976484,43256499284.9297,1.2082319265997597e-07,0.002373946561190608,0.012801649641074558
2025-09-30,2025Q3,tightening,-0.1384057296055004,-189894.92307692952,0.01915614598763089,36060081810.39298,22002462248.41287,1.1400138155966749e-07,0.007504266032934919,0.006511572078216751
2018-03-31,2018Q1,qe,-0.137107829884541,91953.92307692021,0.018798557015648237,8455523969.236159,29383321794.840446,1.1187331065945373e-07,0.0017596327608640676,0.008695918466049968
2013-06-30,2013Q2,pre_qe,-0.1350763711450918,-201707.0,0.01824562604172659,40685713849.0,33506818116.84745,1.0858272731482366e-07,0.008466880970158097,0.00991625659056815
2024-03-31,2024Q1,tightening,-0.1155247304626237,-160550.9230769202,0.013345963348461855,25776598900.85115,44322442160.338394,7.94240272000298e-08,0.005364226753376209,0.01311711269180589
2025-12-31,2025Q4,tightening,-0.1130289257362092,65307.538461539894,0.012775538053081494,4265074579.905513,1417174368.184669,7.60293322654677e-08,0.0008875813001814791,0.0004194091071103378
2017-06-30,2017Q2,qe,-0.0909147456299998,377850.9230769202,0.008265490972967566,142771320070.0807,65150162453.51671,4.918929887022633e-08,0.029711357098762776,0.019281022911615552
2012-12-31,2012Q4,pre_qe,0.0710537195016607,-43439.0,0.005048631055020678,1886946721.0,9609063756.129885,3.004523538445738e-08,0.00039268214250909116,0.0028437776893235384
2018-09-30,2018Q3,qe,-0.0676197430777254,53336.84615384042,0.004572429653897593,2844819157.638442,972283819.7769641,2.7211282372002026e-08,0.0005920197265985081,0.00028774489425238285
2019-06-30,2019Q2,qe,0.0637202540912869,-3349.9484144998714,0.004060270781458165,11222154.379810203,50598575131.53886,2.4163340522225116e-08,2.3353810557492956e-06,0.014974518092757887
2015-06-30,2015Q2,qe,0.0625298469027247,231598.23076923005,0.00390998175367819,53637740495.43754,64212780867.67849,2.326894575141687e-08,0.011162256264412593,0.01900360724367507
2016-12-31,2016Q4,qe,-0.0470770137994098,245170.78021978028,0.002216245228269821,60108711473.575806,60433664177.35443,1.3189240573804324e-08,0.012508894576734866,0.01788518738487894
2017-12-31,2017Q4,qe,0.0425119556524455,142924.0769230798,0.0018072663733954928,20427291764.31443,8474277238.3589325,1.0755340011840067e-08,0.004251011756928829,0.0025079405398069124
2016-09-30,2016Q3,qe,0.0388175370444032,281099.7582417601,0.001506801182193615,79017074083.57596,36226099515.33498,8.967222144617654e-09,0.016443810310390945,0.010721020922273018
2010-09-30,2010Q3,pre_qe,0.0174102112249074,-50874.92307691998,0.00030311545489589164,2588257798.082525,19231711471.203377,1.803890023208804e-09,0.0005386281478993113,0.0056915755163375855
