dimension,response,horizon,value,sign,control_lags,regime
baseline_lpiv,ln_compensation_ea20_real,0,-4.875537545471965e-08,negative,,
baseline_lpiv,ln_compensation_ea20_real,1,5.325260881790391e-08,positive,,
baseline_lpiv,ln_compensation_ea20_real,2,1.0817762006350878e-09,positive,,
baseline_lpiv,ln_compensation_ea20_real,4,-1.849960496190279e-08,negative,,
baseline_lpiv,ln_compensation_ea20_real,8,-7.261267271452001e-08,negative,,
baseline_lpiv,ln_compensation_ea20_real,12,-8.914587455662107e-08,negative,,
baseline_lpiv,ln_ecb_assets_ea_stock,0,3.707807936158248e-07,positive,,
baseline_lpiv,ln_ecb_assets_ea_stock,1,2.93752913537525e-07,positive,,
baseline_lpiv,ln_ecb_assets_ea_stock,2,5.161067643208291e-07,positive,,
baseline_lpiv,ln_ecb_assets_ea_stock,4,5.309712497078276e-07,positive,,
baseline_lpiv,ln_ecb_assets_ea_stock,8,3.7319867623170374e-07,positive,,
baseline_lpiv,ln_ecb_assets_ea_stock,12,-1.9770654831203504e-07,negative,,
baseline_lpiv,ln_hh_loans_ea_stock,0,1.0575135283962145e-08,positive,,
baseline_lpiv,ln_hh_loans_ea_stock,1,-6.7388204991927865e-09,negative,,
baseline_lpiv,ln_hh_loans_ea_stock,2,-3.5087840376486086e-09,negative,,
baseline_lpiv,ln_hh_loans_ea_stock,4,-8.39466766371723e-09,negative,,
baseline_lpiv,ln_hh_loans_ea_stock,8,-5.301533986156462e-08,negative,,
baseline_lpiv,ln_hh_loans_ea_stock,12,-1.137229114358912e-07,negative,,
baseline_lpiv,ln_house_price_de_real,0,1.3833020128862633e-08,positive,,
baseline_lpiv,ln_house_price_de_real,1,4.672075330650515e-08,positive,,
baseline_lpiv,ln_house_price_de_real,2,6.075297384166653e-08,positive,,
baseline_lpiv,ln_house_price_de_real,4,5.690934957571591e-08,positive,,
baseline_lpiv,ln_house_price_de_real,8,1.3246480827893509e-08,positive,,
baseline_lpiv,ln_house_price_de_real,12,6.871923788783967e-08,positive,,
baseline_lpiv,ln_nfc_loans_ea_stock,0,7.129894912061861e-09,positive,,
baseline_lpiv,ln_nfc_loans_ea_stock,1,-1.582234667563684e-08,negative,,
baseline_lpiv,ln_nfc_loans_ea_stock,2,-1.1292064845916677e-08,negative,,
baseline_lpiv,ln_nfc_loans_ea_stock,4,-4.6838280137808894e-08,negative,,
baseline_lpiv,ln_nfc_loans_ea_stock,8,-1.335722844986595e-07,negative,,
baseline_lpiv,ln_nfc_loans_ea_stock,12,-2.410189646797626e-07,negative,,
ols_lp,ln_ecb_assets_ea_stock,0,3.6933349576286885e-07,positive,,
ols_lp,ln_ecb_assets_ea_stock,1,3.095861303666132e-07,positive,,
ols_lp,ln_ecb_assets_ea_stock,2,4.77095278493084e-07,positive,,
ols_lp,ln_ecb_assets_ea_stock,4,3.149019249323663e-07,positive,,
ols_lp,ln_ecb_assets_ea_stock,8,4.191491386261396e-09,positive,,
ols_lp,ln_ecb_assets_ea_stock,12,-1.720378997404922e-07,negative,,
ols_lp,ln_hh_loans_ea_stock,0,5.195864123727144e-09,positive,,
ols_lp,ln_hh_loans_ea_stock,1,1.2250818397279552e-09,positive,,
ols_lp,ln_hh_loans_ea_stock,2,2.9023743415189415e-09,positive,,
ols_lp,ln_hh_loans_ea_stock,4,2.0014469275175505e-09,positive,,
ols_lp,ln_hh_loans_ea_stock,8,-1.9290264451277202e-08,negative,,
ols_lp,ln_hh_loans_ea_stock,12,-3.3247960432762885e-08,negative,,
ols_lp,ln_nfc_loans_ea_stock,0,3.5217945325651055e-09,positive,,
ols_lp,ln_nfc_loans_ea_stock,1,-3.369589276110514e-09,negative,,
ols_lp,ln_nfc_loans_ea_stock,2,-1.4016911244892801e-08,negative,,
ols_lp,ln_nfc_loans_ea_stock,4,-3.2626635617667984e-08,negative,,
ols_lp,ln_nfc_loans_ea_stock,8,-5.250166780222177e-08,negative,,
ols_lp,ln_nfc_loans_ea_stock,12,-6.633532821987213e-08,negative,,
ols_lp,ln_house_price_de_real,0,1.6259059055004436e-08,positive,,
ols_lp,ln_house_price_de_real,1,3.0568617542399964e-08,positive,,
ols_lp,ln_house_price_de_real,2,2.7710840631226695e-08,positive,,
ols_lp,ln_house_price_de_real,4,1.6168527065394572e-08,positive,,
ols_lp,ln_house_price_de_real,8,-2.366166339934328e-08,negative,,
ols_lp,ln_house_price_de_real,12,-8.993862317200604e-09,negative,,
ols_lp,ln_compensation_ea20_real,0,-1.3797917569826745e-08,negative,,
ols_lp,ln_compensation_ea20_real,1,2.236431642381808e-08,positive,,
ols_lp,ln_compensation_ea20_real,2,2.303657323184892e-09,positive,,
ols_lp,ln_compensation_ea20_real,4,-9.952123255900239e-09,negative,,
ols_lp,ln_compensation_ea20_real,8,-2.9133957487006018e-08,negative,,
ols_lp,ln_compensation_ea20_real,12,-2.0093089508812994e-08,negative,,
dax_robustness,ln_compensation_ea20_real,0,-3.869823921774793e-08,negative,,
dax_robustness,ln_compensation_ea20_real,1,4.736749516656929e-08,positive,,
dax_robustness,ln_compensation_ea20_real,2,-9.734779417970972e-09,negative,,
dax_robustness,ln_compensation_ea20_real,4,-2.7150519568915686e-08,negative,,
dax_robustness,ln_compensation_ea20_real,8,-7.724639705551574e-08,negative,,
dax_robustness,ln_compensation_ea20_real,12,-6.231855222693764e-08,negative,,
dax_robustness,ln_ecb_assets_ea_stock,0,3.263483484355077e-07,positive,,
dax_robustness,ln_ecb_assets_ea_stock,1,2.749341588232827e-07,positive,,
dax_robustness,ln_ecb_assets_ea_stock,2,5.08869091551114e-07,positive,,
dax_robustness,ln_ecb_assets_ea_stock,4,4.394707568057478e-07,positive,,
dax_robustness,ln_ecb_assets_ea_stock,8,2.4611533177696277e-07,positive,,
dax_robustness,ln_ecb_assets_ea_stock,12,-7.896563052663636e-07,negative,,
dax_robustness,ln_hh_loans_ea_stock,0,1.029329944589616e-08,positive,,
dax_robustness,ln_hh_loans_ea_stock,1,-5.357465851363104e-09,negative,,
dax_robustness,ln_hh_loans_ea_stock,2,-1.9575902404941654e-09,negative,,
dax_robustness,ln_hh_loans_ea_stock,4,-6.857882342510269e-09,negative,,
dax_robustness,ln_hh_loans_ea_stock,8,-6.302396078750139e-08,negative,,
dax_robustness,ln_hh_loans_ea_stock,12,-1.260820275336562e-07,negative,,
dax_robustness,ln_house_price_de_real,0,1.3295339853606146e-08,positive,,
dax_robustness,ln_house_price_de_real,1,3.720696271052581e-08,positive,,
dax_robustness,ln_house_price_de_real,2,4.340240713121188e-08,positive,,
dax_robustness,ln_house_price_de_real,4,5.43020960145835e-08,positive,,
dax_robustness,ln_house_price_de_real,8,1.7393667503335333e-08,positive,,
dax_robustness,ln_house_price_de_real,12,-3.719507163920808e-09,negative,,
dax_robustness,ln_nfc_loans_ea_stock,0,3.103103316561485e-09,positive,,
dax_robustness,ln_nfc_loans_ea_stock,1,-1.766002044546346e-08,negative,,
dax_robustness,ln_nfc_loans_ea_stock,2,-1.0056175596767164e-08,negative,,
dax_robustness,ln_nfc_loans_ea_stock,4,-3.8761076544205966e-08,negative,,
dax_robustness,ln_nfc_loans_ea_stock,8,-1.322469856007408e-07,negative,,
dax_robustness,ln_nfc_loans_ea_stock,12,-2.574739932618989e-07,negative,,
lag_sensitivity,ln_compensation_ea20_real,0,1.2587285485595524e-08,positive,1.0,
lag_sensitivity,ln_compensation_ea20_real,1,1.2205890791944598e-07,positive,1.0,
lag_sensitivity,ln_compensation_ea20_real,2,2.5202839064561853e-08,positive,1.0,
lag_sensitivity,ln_compensation_ea20_real,4,4.8523559053749025e-08,positive,1.0,
lag_sensitivity,ln_compensation_ea20_real,8,-8.883369572868212e-08,negative,1.0,
lag_sensitivity,ln_compensation_ea20_real,12,-9.970822436027701e-08,negative,1.0,
lag_sensitivity,ln_ecb_assets_ea_stock,0,1.9116553345394778e-07,positive,1.0,
lag_sensitivity,ln_ecb_assets_ea_stock,1,-3.500407826827953e-08,negative,1.0,
lag_sensitivity,ln_ecb_assets_ea_stock,2,2.3451476306275047e-07,positive,1.0,
lag_sensitivity,ln_ecb_assets_ea_stock,4,7.330643955650423e-07,positive,1.0,
lag_sensitivity,ln_ecb_assets_ea_stock,8,1.9861205585792017e-06,positive,1.0,
lag_sensitivity,ln_ecb_assets_ea_stock,12,-1.910179492519625e-07,negative,1.0,
lag_sensitivity,ln_hh_loans_ea_stock,0,1.0462700901548136e-10,positive,1.0,
lag_sensitivity,ln_hh_loans_ea_stock,1,-2.5494874323615228e-08,negative,1.0,
lag_sensitivity,ln_hh_loans_ea_stock,2,-2.9769824622435022e-08,negative,1.0,
lag_sensitivity,ln_hh_loans_ea_stock,4,-5.6196548523942035e-08,negative,1.0,
lag_sensitivity,ln_hh_loans_ea_stock,8,-1.3297076104736533e-07,negative,1.0,
lag_sensitivity,ln_hh_loans_ea_stock,12,-1.675390344280265e-07,negative,1.0,
lag_sensitivity,ln_house_price_de_real,0,3.292468033710604e-08,positive,1.0,
lag_sensitivity,ln_house_price_de_real,1,4.56591666940918e-08,positive,1.0,
lag_sensitivity,ln_house_price_de_real,2,6.714147622157016e-08,positive,1.0,
lag_sensitivity,ln_house_price_de_real,4,1.6198979527647826e-07,positive,1.0,
lag_sensitivity,ln_house_price_de_real,8,1.233229693153287e-07,positive,1.0,
lag_sensitivity,ln_house_price_de_real,12,1.2073193477458037e-08,positive,1.0,
lag_sensitivity,ln_nfc_loans_ea_stock,0,-1.8607414564423877e-08,negative,1.0,
lag_sensitivity,ln_nfc_loans_ea_stock,1,-7.381036669834566e-08,negative,1.0,
lag_sensitivity,ln_nfc_loans_ea_stock,2,-9.658785644099009e-08,negative,1.0,
lag_sensitivity,ln_nfc_loans_ea_stock,4,-1.6968579937837005e-07,negative,1.0,
lag_sensitivity,ln_nfc_loans_ea_stock,8,-1.1459555547283298e-07,negative,1.0,
lag_sensitivity,ln_nfc_loans_ea_stock,12,-2.89746036201313e-07,negative,1.0,
lag_sensitivity,ln_compensation_ea20_real,0,-4.875537545471965e-08,negative,2.0,
lag_sensitivity,ln_compensation_ea20_real,1,5.3252608817903916e-08,positive,2.0,
lag_sensitivity,ln_compensation_ea20_real,2,1.0817762006350878e-09,positive,2.0,
lag_sensitivity,ln_compensation_ea20_real,4,-1.849960496190279e-08,negative,2.0,
lag_sensitivity,ln_compensation_ea20_real,8,-7.261267271452002e-08,negative,2.0,
lag_sensitivity,ln_compensation_ea20_real,12,-8.914587455662107e-08,negative,2.0,
lag_sensitivity,ln_ecb_assets_ea_stock,0,3.707807936158248e-07,positive,2.0,
lag_sensitivity,ln_ecb_assets_ea_stock,1,2.93752913537525e-07,positive,2.0,
lag_sensitivity,ln_ecb_assets_ea_stock,2,5.161067643208291e-07,positive,2.0,
lag_sensitivity,ln_ecb_assets_ea_stock,4,5.309712497078276e-07,positive,2.0,
lag_sensitivity,ln_ecb_assets_ea_stock,8,3.731986762317038e-07,positive,2.0,
lag_sensitivity,ln_ecb_assets_ea_stock,12,-1.9770654831203507e-07,negative,2.0,
lag_sensitivity,ln_hh_loans_ea_stock,0,1.0575135283962145e-08,positive,2.0,
lag_sensitivity,ln_hh_loans_ea_stock,1,-6.738820499192786e-09,negative,2.0,
lag_sensitivity,ln_hh_loans_ea_stock,2,-3.5087840376486086e-09,negative,2.0,
lag_sensitivity,ln_hh_loans_ea_stock,4,-8.394667663717231e-09,negative,2.0,
lag_sensitivity,ln_hh_loans_ea_stock,8,-5.3015339861564625e-08,negative,2.0,
lag_sensitivity,ln_hh_loans_ea_stock,12,-1.137229114358912e-07,negative,2.0,
lag_sensitivity,ln_house_price_de_real,0,1.3833020128862631e-08,positive,2.0,
lag_sensitivity,ln_house_price_de_real,1,4.6720753306505155e-08,positive,2.0,
lag_sensitivity,ln_house_price_de_real,2,6.075297384166654e-08,positive,2.0,
lag_sensitivity,ln_house_price_de_real,4,5.690934957571591e-08,positive,2.0,
lag_sensitivity,ln_house_price_de_real,8,1.3246480827893509e-08,positive,2.0,
lag_sensitivity,ln_house_price_de_real,12,6.871923788783968e-08,positive,2.0,
lag_sensitivity,ln_nfc_loans_ea_stock,0,7.129894912061861e-09,positive,2.0,
lag_sensitivity,ln_nfc_loans_ea_stock,1,-1.582234667563684e-08,negative,2.0,
lag_sensitivity,ln_nfc_loans_ea_stock,2,-1.1292064845916677e-08,negative,2.0,
lag_sensitivity,ln_nfc_loans_ea_stock,4,-4.6838280137808894e-08,negative,2.0,
lag_sensitivity,ln_nfc_loans_ea_stock,8,-1.335722844986595e-07,negative,2.0,
lag_sensitivity,ln_nfc_loans_ea_stock,12,-2.410189646797626e-07,negative,2.0,
lag_sensitivity,ln_compensation_ea20_real,0,8.549466848997679e-09,positive,4.0,
lag_sensitivity,ln_compensation_ea20_real,1,3.2935326635709564e-08,positive,4.0,
lag_sensitivity,ln_compensation_ea20_real,2,3.328347417647159e-09,positive,4.0,
lag_sensitivity,ln_compensation_ea20_real,4,1.1023701292228545e-08,positive,4.0,
lag_sensitivity,ln_compensation_ea20_real,8,-3.360858696893966e-08,negative,4.0,
lag_sensitivity,ln_compensation_ea20_real,12,-2.9935014925259346e-08,negative,4.0,
lag_sensitivity,ln_ecb_assets_ea_stock,0,2.615261839346189e-07,positive,4.0,
lag_sensitivity,ln_ecb_assets_ea_stock,1,3.911552509347677e-07,positive,4.0,
lag_sensitivity,ln_ecb_assets_ea_stock,2,5.270294035469383e-07,positive,4.0,
lag_sensitivity,ln_ecb_assets_ea_stock,4,5.106650415960803e-07,positive,4.0,
lag_sensitivity,ln_ecb_assets_ea_stock,8,-4.11979441670561e-07,negative,4.0,
lag_sensitivity,ln_ecb_assets_ea_stock,12,-1.0665356197624064e-07,negative,4.0,
lag_sensitivity,ln_hh_loans_ea_stock,0,-6.107875500314568e-09,negative,4.0,
lag_sensitivity,ln_hh_loans_ea_stock,1,-1.0868988236615956e-08,negative,4.0,
lag_sensitivity,ln_hh_loans_ea_stock,2,-1.3443636073128446e-08,negative,4.0,
lag_sensitivity,ln_hh_loans_ea_stock,4,-1.949702375180849e-08,negative,4.0,
lag_sensitivity,ln_hh_loans_ea_stock,8,-4.0062325417117384e-08,negative,4.0,
lag_sensitivity,ln_hh_loans_ea_stock,12,-4.9877376961791517e-08,negative,4.0,
lag_sensitivity,ln_house_price_de_real,0,-3.897930125415664e-09,negative,4.0,
lag_sensitivity,ln_house_price_de_real,1,-2.553653374540694e-09,negative,4.0,
lag_sensitivity,ln_house_price_de_real,2,-3.23403923365745e-08,negative,4.0,
lag_sensitivity,ln_house_price_de_real,4,2.7827905439376705e-08,positive,4.0,
